"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"Entity 1.NumberIn","OUTPUT VALUE","Number In","Entity","Entity 1",10667,10667,10667,10667,10667,10667,10667,10667,10667,10667
"Entity 1.NumberOut","OUTPUT VALUE","Number Out","Entity","Entity 1",9964,9750,9771,9795,10000,9908,10240,10000,10000,10000
"Lote.NumberIn","OUTPUT VALUE","Number In","Entity","Lote",42,42,42,42,42,42,42,42,42,42
"Lote.NumberOut","OUTPUT VALUE","Number Out","Entity","Lote",41,40,41,41,41,40,41,41,40,40
"Maq Colagem.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Colagem",10542,10224,10302,10304,10524,10461,10778,10544,10530,10489
"Maq Colagem.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Colagem",0.740548654643425,0.714814816705623,0.716977806713442,0.721113415207869,0.730038436669109,0.731143149554694,0.75368036347895,0.738615280620372,0.736158655118426,0.731863450796643
"Maq Corte.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Corte",10040,9791,9817,9849,10042,9990,10292,10042,10041,10041
"Maq Corte.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Corte",0.974288965982567,0.975846031464186,0.975536928087715,0.976656249999998,0.976656250000001,0.975615468142915,0.974942952177649,0.976656249999999,0.976656249999999,0.976656249999998
"Operador Inspecao.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Operador Inspecao",10523,10224,10299,10303,10524,10455,10776,10544,10530,10489
"Operador Inspecao.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Operador Inspecao",0.733153544932666,0.710186552734802,0.716027728461776,0.723578949389171,0.731948804760842,0.725416088146211,0.756479590093846,0.733843888549293,0.731248143105634,0.724250564044606
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",9964,9750,9771,9795,10000,9908,10240,10000,10000,10000
"Colagem.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Colagem.Queue",9.8941846788427,9.57294581047707,8.74317542035661,9.21643881973261,10.3893080876745,9.75810826420092,7.37853455011005,9.42361914123678,10.4304072206326,8.04586182403528
"Colagem.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Colagem.Queue",0.028137440872908,2.80896297255783E-02,2.54606156678992E-02,2.68193182377973E-02,2.96160435794597E-02,2.78910528668208E-02,2.05113780729924E-02,2.68122699390273E-02,2.97162598878421E-02,0.023012284747932
"Corte.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Corte.Queue",148.962164742952,177.250950785049,142.461885443175,179.236233378919,170.476518115909,148.025494073721,88.4807445426331,148.513881472068,170.900038126728,134.654045614267
"Corte.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Corte.Queue",0.433835718484527,0.542059735153607,0.427481140560345,0.539038085349776,0.510810664203083,0.441514744307513,0.258968032807708,0.443755878804828,0.512700114380184,0.403962136842798
"Entity 1.NVATime","TALLY AVERAGE","NVA Time","Entity","Entity 1",0.202043661787894,0.213511094936068,0.214045824948657,0.211748977850776,0.207286956543979,0.209494179285266,0.191078319488787,0.200549123634946,0.207082023364568,0.203664614134958
"Entity 1.OtherTime","TALLY AVERAGE","Other Time","Entity","Entity 1",0,0,0,0,0,0,0,0,0,0
"Entity 1.TotalTime","TALLY AVERAGE","Total Time","Entity","Entity 1",1.43648445627329,1.82958953407569,1.36206206316966,1.64994497318232,1.52283334170079,1.45023845088302,1.06434011701232,1.41164814357724,1.52595679327289,1.32618517238404
"Entity 1.TranTime","TALLY AVERAGE","Transfer Time","Entity","Entity 1",0,0,0,0,0,0,0,0,0,0
"Entity 1.VATime","TALLY AVERAGE","VA Time","Entity","Entity 1",6.5254533787319E-03,6.4887011643662E-03,6.48561270658805E-03,6.52552637892711E-03,6.46130495930045E-03,6.50391268867246E-03,6.50965920257114E-03,6.5217097774974E-03,6.49211177253774E-03,6.46422783242765E-03
"Entity 1.WaitTime","TALLY AVERAGE","Wait Time","Entity","Entity 1",1.22791534110666,1.60958973797526,1.14153062551442,1.43167046895262,1.30908508019752,1.23424035890909,0.866752138320964,1.20457731016479,1.31238265813578,1.11605633041667
"Entity 1.WIP","DSTAT AVERAGE","WIP","Entity","Entity 1",500.288151993507,634.04759857452,481.269613974282,574.364877493956,528.475707650208,505.983325294903,371.848103690168,491.413974942354,529.516858174239,462.926317877956
"Formar Lotes Setup.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Formar Lotes Setup.Queue",123.864593749996,123.864593749996,123.864593749996,123.864593749996,123.864593749996,123.864593749996,123.864593749996,123.864593749996,123.864593749996,123.864593749996
"Formar Lotes Setup.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Formar Lotes Setup.Queue",0.350156250000034,0.350156250000034,0.350156250000034,0.350156250000034,0.350156250000034,0.350156250000034,0.350156250000034,0.350156250000034,0.350156250000034,0.350156250000034
"Inspecao.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Inspecao.Queue",3.57376928137113,3.84941710019488,3.76715146553222,5.23607441432746,4.9792242351696,4.1424943330349,3.70847572579586,4.13445663738671,4.27761412509635,3.48517063279333
"Inspecao.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Inspecao.Queue",1.01543642931652E-02,1.12952379700554E-02,1.09725537784964E-02,0.015246261518958,1.41939117308141E-02,0.011882797522306,1.03242241550345E-02,1.17634388393021E-02,1.21869348293343E-02,9.96807312268087E-03
"Lote.WIP","DSTAT AVERAGE","WIP","Entity","Lote",0.847285323287774,1.26960345300155,0.801279615786771,1.01871854584962,0.866449180566766,0.872161380191525,0.584771641304895,0.813214082730002,0.871520670777089,0.762887613784226
"Maq Colagem.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Maq Colagem",0.740548654643425,0.714814816705623,0.716977806713442,0.721113415207869,0.730038436669109,0.731143149554694,0.75368036347895,0.738615280620372,0.736158655118426,0.731863450796643
"Maq Colagem.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Maq Colagem",1,1,1,1,1,1,1,1,1,1
"Maq Colagem.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Maq Colagem",0.740548654643425,0.714814816705623,0.716977806713442,0.721113415207869,0.730038436669109,0.731143149554694,0.75368036347895,0.738615280620372,0.736158655118426,0.731863450796643
"Maq Corte.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Maq Corte",0.974288965982567,0.975846031464186,0.975536928087715,0.976656249999998,0.976656250000001,0.975615468142915,0.974942952177649,0.976656249999999,0.976656249999999,0.976656249999998
"Maq Corte.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Maq Corte",1,1,1,1,1,1,1,1,1,1
"Maq Corte.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Maq Corte",0.974288965982567,0.975846031464186,0.975536928087715,0.976656249999998,0.976656250000001,0.975615468142915,0.974942952177649,0.976656249999999,0.976656249999999,0.976656249999998
"Operador Inspecao.NumberBusy","DSTAT AVERAGE","Number Busy","Resource","Operador Inspecao",0.733153544932666,0.710186552734802,0.716027728461776,0.723578949389171,0.731948804760842,0.725416088146211,0.756479590093846,0.733843888549293,0.731248143105634,0.724250564044606
"Operador Inspecao.NumberScheduled","DSTAT AVERAGE","Number Scheduled","Resource","Operador Inspecao",1,1,1,1,1,1,1,1,1,1
"Operador Inspecao.Utilization","DSTAT AVERAGE","Instantaneous Utilization","Resource","Operador Inspecao",0.733153544932666,0.710186552734802,0.716027728461776,0.723578949389171,0.731948804760842,0.725416088146211,0.756479590093846,0.733843888549293,0.731248143105634,0.724250564044606
"Setup Corte.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Setup Corte.Queue",0.571402876131945,0.977583930515954,0.505641101055248,0.729270599825773,0.581574008903628,0.592276500415957,0.322513530962987,0.538001922726138,0.591494880065616,0.484859959752194
"Setup Corte.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Setup Corte.Queue",0.406598141072224,0.703803790621499,0.358479769064885,0.522111109628683,0.415410006359735,0.403051125312103,0.230366807830705,0.384287087661527,0.421299607365154,0.343274055916308
"Tempo no Sistema","TALLY AVERAGE","Interval","User Specified","Tempo no Sistema",15.4469735294365,15.5391207840756,15.1011245631695,15.422761205954,15.5839270917006,15.3819640135595,15.4629338670123,15.4727418935771,15.5870505432728,15.3872789223839
